Date,Time,Station_Number,Depth,Discrete_Chlorophyll,DiscreteChlorophyll_Pheopigment_Ratio,Calculated_Chlorophyll,Discrete_Oxygen,Oxygen,Oxygen_Percent_Saturation,Discrete_SPM,Calculated_SPM,Extinction_Coefficient,Salinity,Temperature,Sigma_t,Nitrite,Nitrate_Nitrite,Ammonium,Phosphate,Silicate
1/21/16,13:39,2,1,,,2.2,,9.8,88,,54,4.2,0.55,10.33,0.1,,,,,
1/21/16,13:39,2,2,,,2.3,,9.8,88,,59,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,3,,,2.4,,9.8,88,,62,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,4,,,2.3,,9.8,88,,61,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,5,,,2.4,,9.8,88,,62,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,6,,,2.5,,9.8,88,,62,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,7,,,2.5,,9.8,88,,62,,0.56,10.32,0.11,,,,,
1/21/16,13:39,2,8,,,2.5,,9.8,88,,62,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,9,,,2.5,,9.8,88,,62,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,10,,,2.5,,9.8,88,,62,,0.55,10.32,0.11,,,,,
1/21/16,13:39,2,11,,,2.6,,9.8,88,,65,,0.56,10.32,0.12,,,,,
1/21/16,13:39,2,12,,,2.5,,9.8,88,,70,,0.57,10.32,0.12,,,,,
1/21/16,13:29,3,1,2.4,0.49,2.2,9.7,9.8,88,46,52,4.1,0.65,10.37,0.18,0.97,43.34,15.78,2.04,231.03
1/21/16,13:29,3,2,,,2.3,,9.8,88,,55,,0.67,10.33,0.2,,,,,
1/21/16,13:29,3,3,,,2.3,,9.8,88,,59,,0.67,10.33,0.2,,,,,
1/21/16,13:29,3,4,,,2.4,,9.8,88,,60,,0.68,10.33,0.21,,,,,
1/21/16,13:29,3,5,,,2.4,,9.8,88,,60,,0.72,10.32,0.24,,,,,
1/21/16,13:29,3,6,,,2.4,,9.8,88,,61,,0.77,10.31,0.28,,,,,
1/21/16,13:29,3,7,,,2.4,,9.8,88,,61,,0.9,10.3,0.38,,,,,
1/21/16,13:29,3,8,,,2.4,,9.8,88,,62,,0.97,10.3,0.43,,,,,
1/21/16,13:29,3,9,,,2.4,,9.8,88,,63,,1,10.3,0.46,,,,,
