Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Actinocyclus sp.,BACILLARIOPHYTA,1/14/2014,6,2,1,26.7,78746.8,2944.9
Aulacoseira sp.,BACILLARIOPHYTA,1/14/2014,6,2,3,80.2,88196.4,1099.6
Cocconeis placentula,BACILLARIOPHYTA,1/14/2014,6,2,1,26.7,11780.5,440.6
Cyclotella atomus,BACILLARIOPHYTA,1/14/2014,6,2,2,53.5,20999.2,392.7
Cyclotella choctawhatcheeana,BACILLARIOPHYTA,1/14/2014,6,2,10,267.4,67197.3,251.3
Cyclotella sp.,BACILLARIOPHYTA,1/14/2014,6,2,14,374.3,31750.7,84.8
Cyclotella striata,BACILLARIOPHYTA,1/14/2014,6,2,1,3.6,27033,7447.1
Diploneis sp.,BACILLARIOPHYTA,1/14/2014,6,2,1,3.6,6589.2,1815.2
Epithemia sp.,BACILLARIOPHYTA,1/14/2014,6,2,1,26.7,26296.7,983.4
Navicula spp.,BACILLARIOPHYTA,1/14/2014,6,2,1,0.2,182.2,911.1
Nitzschia spp.,BACILLARIOPHYTA,1/14/2014,6,2,3,80.2,14438,180
Rhoicosphenia marina,BACILLARIOPHYTA,1/14/2014,6,2,1,3.6,3626,998.9
Staurosira venter,BACILLARIOPHYTA,1/14/2014,6,2,3,80.2,3023.9,37.7
Thalassionema nitzschioides,BACILLARIOPHYTA,1/14/2014,6,2,1,3.6,871.7,240.1
Thalassiosira eccentrica,BACILLARIOPHYTA,1/14/2014,6,2,2,53.5,49390,923.7
Thalassiosira spp.,BACILLARIOPHYTA,1/14/2014,6,2,34,909.1,228470.7,251.3
Thalassiosira visurgis,BACILLARIOPHYTA,1/14/2014,6,2,3,80.2,45736.1,570.2
Tryblionella granulata,BACILLARIOPHYTA,1/14/2014,6,2,1,3.6,1737.9,478.7
Ulnaria ulna,BACILLARIOPHYTA,1/14/2014,6,2,2,53.5,200331.9,3746.6
